stem,tf.idf
lacerr,10.82097669262124
bellidol,10.82097669262124
procacc,10.82097669262124
viagg,10.82097669262124
lungim,10.82097669262124
sentim,10.82097669262124
fag,10.82097669262124
incant,10.82097669262124
ultim,10.82097669262124
allat,10.82097669262124
acces,10.82097669262124
res,10.82097669262124
stent,10.82097669262124
tratteng,10.82097669262124
celam,10.82097669262124
legam,10.82097669262124
incost,10.82097669262124
scem,10.82097669262124
spett,10.82097669262124
for,10.82097669262124
chev,10.82097669262124
farebbeil,10.82097669262124
priv,10.82097669262124
amazzonir,10.82097669262124
labelt,10.82097669262124
temor,10.82097669262124
vre,10.82097669262124
fellon,10.82097669262124
staccal,10.82097669262124
inrò,10.82097669262124
ren,10.82097669262124
coragg,10.82097669262124
mived,10.82097669262124
ripigl,10.82097669262124
tar,10.82097669262124
void,10.82097669262124
amen,10.82097669262124
infern,10.82097669262124
debellar,10.82097669262124
undì,10.82097669262124
camcigl,10.82097669262124
assi,10.82097669262124
penan,10.82097669262124
feb,10.82097669262124
remot,10.82097669262124
strad,10.82097669262124
ondafugg,10.82097669262124
aghiacc,10.82097669262124
credenaufrag,10.82097669262124
appien,10.82097669262124
appunt,10.82097669262124
sacrific,10.82097669262124
sven,10.82097669262124
meravigl,10.82097669262124
troinvid,10.82097669262124
invit,10.82097669262124
veder,10.82097669262124
rec,10.82097669262124
uma,10.82097669262124
tir,10.82097669262124
detest,10.82097669262124
potest,10.82097669262124
rinfacc,10.82097669262124
offesament,10.82097669262124
tes,10.82097669262124
por,10.82097669262124
qualaffann,10.82097669262124
passagger,10.82097669262124
vacil,10.82097669262124
sfavill,10.82097669262124
eli,10.82097669262124
lauror,10.82097669262124
rì,10.82097669262124
chiom,10.82097669262124
clor,10.82097669262124
orna,10.82097669262124
divant,10.82097669262124
amovers,10.82097669262124
insul,10.82097669262124
sdem,10.82097669262124
nochchier,10.82097669262124
allo,10.82097669262124
nuovil,10.82097669262124
spo,10.82097669262124
idolmioah,10.82097669262124
ingan,10.82097669262124
nibell,10.82097669262124
setu,10.82097669262124
appren,10.82097669262124
beldes,10.82097669262124
supp,10.82097669262124
mant,10.82097669262124
cre,10.82097669262124
uncor,10.82097669262124
ottien,10.82097669262124
ricett,10.82097669262124
purg,10.82097669262124
traffitt,10.82097669262124
preved,10.82097669262124
giac,10.82097669262124
quan,10.82097669262124
augel,10.82097669262124
latt,10.82097669262124
parlartess,10.82097669262124
sietetant,10.82097669262124
corromp,10.82097669262124
gen,10.82097669262124
pasc,10.82097669262124
arross,10.82097669262124
osò,10.82097669262124
svenis,10.82097669262124
cint,10.82097669262124
sti,10.82097669262124
senz,10.82097669262124
ola,10.82097669262124
virsempr,10.82097669262124
ossequ,10.82097669262124
sacerdot,10.82097669262124
temp,10.82097669262124
ecced,10.82097669262124
nosc,10.82097669262124
sam,10.82097669262124
muccid,10.82097669262124
saltr,10.82097669262124
gualment,10.82097669262124
dellond,10.82097669262124
pertenerezz,10.82097669262124
lus,10.82097669262124
cid,10.82097669262124
iolung,10.82097669262124
giudic,10.82097669262124
potenz,10.82097669262124
guer,10.82097669262124
spes,10.82097669262124
tà,10.82097669262124
adoroc,10.82097669262124
inamor,10.82097669262124
sognab,10.82097669262124
satard,10.82097669262124
fidatetant,10.82097669262124
pien,10.82097669262124
malign,10.82097669262124
chim,10.82097669262124
nor,10.82097669262124
dellidol,10.82097669262124
lam,10.82097669262124
mid,10.82097669262124
straard,10.82097669262124
cer,10.82097669262124
nest,10.82097669262124
riposa,10.82097669262124
foc,10.82097669262124
traditr,10.82097669262124
donn,10.82097669262124
sosp,10.82097669262124
addic,10.82097669262124
celest,10.82097669262124
divin,10.82097669262124
amatorsuppon,10.82097669262124
ricorr,10.82097669262124
andiam,10.82097669262124
arrend,10.82097669262124
ingratoingr,10.82097669262124
cal,10.82097669262124
